hora_pc,timestamp_ms,distance_cm,reference_distance_cm,difference_cm,threshold_cm,detection_score,object_detected,servo_angle,angle_cluster_start,angle_cluster_end
03:18:29,400627,30.78,32.63,1.88,8.0,0,False,147,,
03:18:29,400632,30.78,32.63,1.88,8.0,0,False,148,,
03:18:29,401329,30.78,31.61,0.84,8.0,0,False,154,,
03:18:30,401675,30.78,30.89,0.11,8.0,0,False,156,,
03:18:31,403303,35.83,65.59,29.76,8.0,3,True,170,169,170
03:18:32,404351,32.09,65.08,32.99,8.0,5,True,161,161,166
03:18:33,405283,32.09,31.62,-0.48,8.0,0,False,153,,
03:18:34,406237,30.78,31.88,1.11,8.0,0,False,144,,
03:18:35,407261,34.69,39.32,4.72,8.0,5,False,135,,
03:18:37,409231,32.09,57.92,25.83,8.0,5,True,119,119,125
03:18:38,409698,35.84,35.1,-0.76,8.0,0,False,115,,
03:18:39,411326,36.08,64.17,28.09,8.0,5,False,101,101,101
03:18:40,411678,34.92,63.92,29.0,8.0,5,True,98,96,99
03:18:41,413391,35.17,66.4,31.23,8.0,5,True,84,80,87
03:18:42,413940,34.92,50.5,15.58,8.0,5,True,80,80,87
03:18:43,415370,,55.77,0.0,0.0,4,True,74,72,74
03:18:44,415852,35.84,21.55,-14.59,8.0,0,False,71,,
03:18:46,417767,,55.57,0.0,0.0,2,False,61,,
03:18:54,426092,83.13,62.9,-20.64,8.0,4,True,14,13,18
03:18:54,426097,83.13,62.9,-20.64,8.0,5,True,15,13,18
03:18:54,426444,35.62,62.06,26.44,8.0,5,True,17,13,18
03:18:56,427638,32.6,34.8,2.24,8.0,0,False,28,,
03:18:56,428432,8.59,52.47,43.88,8.0,5,True,34,33,35
03:18:57,429459,30.01,66.3,36.29,8.0,5,True,43,43,45
03:18:58,429927,32.09,51.78,19.7,8.0,5,True,47,47,54
03:18:59,430915,36.31,69.89,33.59,8.39,5,True,54,47,54
03:19:00,431931,35.16,11.17,-24.48,8.0,0,False,62,,
03:19:01,432876,32.09,27.78,-4.4,8.0,0,False,71,,
03:19:02,433811,5.37,,0.0,0.0,0,False,78,,
03:19:03,435029,35.16,67.71,32.55,8.12,5,True,86,80,87
03:19:04,435848,2.42,49.87,47.45,8.0,5,True,94,93,94
03:19:05,436937,4.77,55.04,50.28,8.0,5,True,103,103,105
03:19:06,437939,2.42,57.95,55.54,8.0,5,True,112,107,114
03:19:07,438915,1.84,66.44,64.6,8.0,5,True,121,119,125
03:19:08,439938,35.84,35.91,0.07,8.0,0,False,128,,
03:19:09,440884,30.78,59.27,28.48,8.0,5,False,135,135,135
03:19:10,441932,36.55,31.34,-5.32,8.0,0,False,144,,
03:19:11,442979,29.74,31.58,1.88,8.0,0,False,153,,
03:19:12,443979,,66.48,0.0,0.0,4,True,158,158,159
03:19:13,444866,36.08,65.96,29.88,8.0,5,True,162,161,166
03:19:14,445888,,67.01,0.0,0.0,0,True,167,161,166
03:19:15,447087,,65.99,0.0,0.0,3,True,169,169,170
03:19:16,448075,,67.46,0.0,0.0,3,True,165,161,166
03:19:17,448835,,65.96,0.0,0.0,4,True,161,161,166
03:19:18,450047,,38.38,0.0,0.0,0,False,157,,
03:19:19,451035,,31.58,0.0,0.0,0,False,153,,
03:19:20,452023,,32.19,0.0,0.0,0,False,149,,
03:19:21,452841,34.69,31.4,-3.36,8.0,0,False,144,,
03:19:22,453907,74.95,23.69,-52.3,8.0,0,False,138,,
03:19:23,454913,36.77,32.67,-4.18,8.0,0,False,133,,
03:19:24,455951,,37.45,0.0,0.0,0,False,127,,
03:19:25,456950,,57.24,0.0,0.0,5,True,122,119,125
03:19:26,457923,,57.92,0.0,0.0,4,True,119,119,125
03:19:27,458870,57.71,35.43,-22.73,8.0,5,False,114,,
03:19:28,460069,,57.78,0.0,0.0,4,True,110,107,114
03:19:29,461057,,36.36,0.0,0.0,0,False,106,,
03:19:30,461979,,64.17,0.0,0.0,4,False,101,101,101
03:27:36,948455,,68.85,0.0,0.0,2,False,169,,
03:27:36,948460,,68.85,0.0,0.0,0,False,170,,
03:27:36,948465,,68.85,0.0,0.0,0,False,170,,
03:28:24,996399,35.62,67.11,31.49,8.05,5,True,158,158,159
03:28:25,997205,35.84,67.99,32.15,8.16,5,True,164,161,166
03:28:26,998247,34.92,,0.0,0.0,0,False,168,,
03:28:27,999295,34.69,66.68,31.99,8.0,5,True,159,158,159
03:28:28,1000256,36.31,39.75,3.51,8.0,0,False,150,,
03:28:29,1001179,35.16,36.14,1.01,8.0,0,False,142,,
03:28:30,1002253,34.69,41.72,7.17,8.0,0,False,134,,
03:28:31,1003306,35.62,40.75,5.24,8.0,1,False,127,,
03:28:32,1004253,34.69,59.75,25.06,8.0,0,True,118,119,125
03:28:33,1005218,55.02,58.6,3.66,8.0,4,True,110,107,114
03:28:34,1006366,,59.08,0.0,0.0,0,False,104,,
03:28:35,1007234,76.74,,0.0,0.0,0,False,100,,
03:28:36,1008244,35.6,,0.0,0.0,5,False,94,,
03:28:37,1009352,75.67,68.92,-6.89,8.25,1,False,87,,
03:28:38,1010328,,81.21,0.0,0.0,1,False,81,,
03:28:39,1011286,73.5,39.23,-34.98,8.0,0,False,76,,
03:28:40,1012257,34.92,32.74,-2.22,8.0,0,False,68,,
03:28:41,1013339,35.16,21.29,-14.15,8.0,0,False,60,,
03:28:42,1014231,5.08,70.19,65.11,8.42,5,True,53,52,54
03:28:43,1015207,3.0,49.91,46.91,8.0,3,False,44,,
03:28:44,1016278,20.01,38.11,18.1,8.0,1,False,36,,
03:28:45,1017312,55.31,40.12,-15.49,8.0,0,False,28,,
03:28:46,1018372,55.29,38.17,-17.47,8.0,0,False,21,,
03:28:47,1019200,35.84,62.13,26.29,8.0,4,False,16,,
03:28:48,1020415,,36.87,0.0,0.0,0,False,10,,
03:28:49,1021259,35.16,62.36,27.2,8.0,3,True,15,13,18
03:38:22,1594028,55.99,64.26,8.27,8.0,5,True,97,96,99
03:38:22,1594033,55.99,64.26,8.27,8.0,5,True,96,96,99
03:38:22,1594038,55.99,64.26,8.27,8.0,5,True,96,96,99
03:38:23,1595233,57.28,,0.0,0.0,0,False,91,,
03:38:24,1596018,55.46,69.26,13.8,8.31,4,True,86,83,87
03:38:25,1597058,58.41,54.63,-3.86,8.0,0,False,79,,
03:38:26,1598108,55.58,41.85,-14.02,8.0,0,False,75,,
03:38:27,1599140,57.26,37.32,-20.36,8.0,0,False,70,,
03:38:28,1600078,56.01,35.64,-20.79,8.0,0,False,66,,
03:38:29,1601058,,56.6,0.0,0.0,0,False,60,,
04:03:29,88701,43.37,17.13,-26.77,8.0,0,False,110,,
04:03:29,88905,14.89,16.53,1.67,8.0,0,False,108,,
04:03:31,90795,42.17,41.95,-0.22,8.0,0,False,92,,
04:03:32,91712,14.89,43.17,28.29,8.0,3,True,84,79,84
04:03:33,92740,41.57,15.94,-26.16,8.0,0,False,75,,
04:03:34,93104,42.17,42.74,0.58,8.0,0,False,71,,
04:03:34,93899,42.98,16.14,-27.39,8.0,0,False,65,,
04:03:35,94747,43.0,45.31,2.36,8.0,1,False,57,,
04:03:36,95888,4.48,41.94,37.46,8.0,1,False,48,,
04:03:37,96846,5.08,48.26,43.19,8.0,2,False,39,,
04:03:38,97911,2.71,43.4,40.69,8.0,3,True,29,27,32
04:03:39,98869,2.13,39.92,37.79,8.0,1,False,20,,
04:03:40,99898,43.58,50.79,7.36,8.0,1,False,11,,
04:03:41,100830,41.97,48.63,6.8,8.0,2,False,17,,
04:03:42,101880,40.68,48.46,7.94,8.0,0,False,26,,
04:03:43,102921,8.01,48.27,40.26,8.0,4,True,35,34,41
04:03:44,103855,38.38,15.82,-23.02,8.0,2,False,44,,
04:03:45,104786,10.07,15.03,5.06,8.0,0,False,52,,
04:11:03,53184,98.01,96.61,-1.43,11.59,0,False,142,,,0,False
04:11:04,54405,77.71,97.52,19.82,11.7,0,False,132,,,0,False
04:11:05,55508,275.19,100.53,-178.22,11.64,0,False,126,,,0,False
04:11:06,56551,111.89,97.77,-14.4,11.7,0,False,120,,,0,False
04:11:07,57351,65.58,98.09,32.51,11.77,0,False,113,,,0,False
04:11:08,57978,58.28,97.2,38.92,11.66,0,False,108,,,0,False
04:11:09,59157,56.85,97.26,40.4,11.67,1,False,99,,,0,False
04:11:10,60129,56.44,97.65,41.21,11.72,2,False,91,,,0,False
04:11:11,61195,30.29,97.21,66.92,11.66,1,False,82,,,0,False
04:11:12,62131,56.56,96.31,39.75,11.56,2,False,74,,,0,False
04:11:13,63175,39.77,96.74,56.97,11.61,2,False,65,,,0,False
04:11:14,64117,40.44,97.19,56.75,11.66,1,False,56,,,0,False
04:11:15,65040,40.7,96.74,56.05,11.61,2,False,49,,,0,False
04:11:16,66088,39.31,105.16,65.86,12.62,2,False,40,,,0,False
04:11:18,68103,41.38,275.38,233.99,33.05,0,False,22,,,0,False
04:11:19,69140,44.8,100.21,55.41,12.03,1,False,14,,,0,False
04:11:19,67137,41.57,98.17,56.6,11.78,2,False,31,,,0,False
04:11:20,70091,42.58,100.21,57.63,12.03,2,False,14,,,0,False
04:11:21,71139,42.38,275.38,233.0,33.05,3,True,23,11,23,1,True
04:11:22,72095,40.01,98.17,58.16,11.78,1,True,32,11,31,1,False
04:11:23,73139,41.98,105.16,63.18,12.62,1,True,41,11,40,1,False
04:11:24,74062,39.77,96.74,56.97,11.61,2,True,49,11,70,1,False
04:11:25,75098,41.59,97.19,55.6,11.66,3,True,57,11,70,1,False
04:11:26,76268,44.4,96.74,52.34,11.61,3,True,67,11,70,1,False
04:11:28,78499,56.01,97.22,41.21,11.67,3,True,86,11,88,1,False
04:11:28,78536,56.01,97.22,41.21,11.67,2,True,87,11,88,1,False
04:12:43,152888,41.37,96.74,55.38,11.61,5,True,48,10,115,1,True
04:12:44,154483,39.07,96.97,57.91,11.64,5,True,35,10,115,1,False
04:12:45,155532,39.77,97.45,57.68,11.69,5,True,26,10,115,1,False
04:12:46,156496,48.71,108.2,59.49,12.98,5,True,18,10,115,1,False
04:12:47,156891,43.99,99.61,55.62,11.95,4,True,14,10,115,1,False
04:12:48,157934,57.28,100.21,42.93,12.03,5,True,14,10,115,1,False
04:12:49,158890,48.53,98.77,50.23,11.85,5,True,22,10,115,1,False
04:12:50,159878,47.59,100.41,52.82,12.05,5,True,31,10,115,1,False
04:12:51,160898,39.31,97.21,57.9,11.66,5,True,39,10,115,1,False
04:12:52,161946,39.53,96.74,57.21,11.61,5,True,48,10,115,1,False
04:12:53,162995,38.62,97.19,58.57,11.66,5,True,57,10,115,1,False
04:12:54,163926,39.77,96.74,56.97,11.61,5,True,65,10,115,1,False
04:16:24,374197,39.31,103.62,64.31,12.43,5,True,153,10,170,1,True
